Scn1,Sc2,Sc3,sc4
5.49,5.49,5.49,5.49
20.52,20.52,20.52,20.52
22.46,22.46,22.46,22.46
5.89,5.89,5.89,5.89
10.87,10.87,10.87,10.87
1.05,1.05,1.05,1.05
2.7,2.7,2.7,2.7
22.52,22.52,22.52,22.52
24.3,24.3,24.3,24.3
90.6,90.6,90.6,90.6
50.74,50.74,50.74,50.74
0,0,0,0
30.81,30.81,30.81,30.81
0,0,0,0
0,0,0,0
8.53,8.53,8.53,8.53
11.24,11.24,11.24,11.24
2.03,2.03,2.03,2.03
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.38,0.38,0.38,0.38
1.93,1.93,1.93,1.93
0,0,0,0
0,0,0,0
0.47,0.47,0.47,0.47
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.11,1.11,1.11,1.11
0,0,0,0
0,0,0,0
0,0,0,0
4.68,4.68,4.68,4.68
1.12,1.12,1.12,1.12
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.15,0.15,0.15,0.15
0,0,0,0
0,0,0,0
0.31,0.31,0.31,0.31
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.63,0.63,0.63,0.63
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.37,0.37,0.37,0.37
0,0,0,0
0.65,0.65,0.65,0.65
0,0,0,0
0.79,0.79,0.79,0.79
3.92,3.92,3.92,3.92
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.67,2.67,2.67,2.67
7.22,7.22,7.22,7.22
0.34,0.34,0.34,0.34
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.49,1.49,1.49,1.49
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
10.89,10.89,10.89,10.89
2.87,2.87,2.87,2.87
16.04,16.04,16.04,16.04
0.84,0.84,0.84,0.84
0,0,0,0
0,0,0,0
0,0,0,0
0.36,0.36,0.36,0.36
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.37,3.37,3.37,3.37
21.39,21.39,21.39,21.39
2.28,2.28,2.28,2.28
0,0,0,0
0,0,0,0
3.15,3.15,3.15,3.15
2.56,2.56,2.56,2.56
0.11,0.11,0.11,0.11
0,0,0,0
8.87,8.87,8.87,8.87
6.32,6.32,6.32,6.32
1.12,1.12,1.12,1.12
1.79,1.79,1.79,1.79
-99,-99,-99,-99
0,0,0,0
0,0,0,0
0,0,0,0
30.74,30.74,30.74,30.74
35.63,35.63,35.63,35.63
29.35,29.35,29.35,29.35
17.53,17.53,17.53,17.53
0.31,0.31,0.31,0.31
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2.83,2.83,2.83,2.83
0.42,0.42,0.42,0.42
0.19,0.19,0.19,0.19
0,0,0,0
1.19,1.19,1.19,1.19
4.51,4.51,4.51,4.51
1.38,1.38,1.38,1.38
5.18,5.18,5.18,5.18
10.61,10.61,10.61,10.61
5.82,5.82,5.82,5.82
22.38,22.38,22.38,22.38
12.7,12.7,12.7,12.7
11.58,11.58,11.58,11.58
7.23,7.23,7.23,7.23
0.56,0.56,0.56,0.56
8,8,8,8
13.54,13.54,13.54,13.54
13.43,13.43,13.43,13.43
8.12,8.12,8.12,8.12
5.47,5.47,5.47,5.47
3.64,3.64,3.64,3.64
17.26,17.26,17.26,17.26
16,16,16,16
0.96,0.96,0.96,0.96
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0.59,0.59,0.59,0.59
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.3,3.3,3.3,3.3
0,0,0,0
0,0,0,0
0,0,0,0
0.12,0.12,0.12,0.12
0,0,0,0
10.77,10.77,10.77,10.77
7.93,7.93,7.93,7.93
20.08,20.08,20.08,20.08
17.23,17.23,17.23,17.23
6.85,6.85,6.85,6.85
13.56,13.56,13.56,13.56
11.58,11.58,11.58,11.58
8.87,8.87,8.87,8.87
4.06,4.06,4.06,4.06
