ID,NAME,LAT,LONG,ELEVATION
421,46-0000000_6-9166667p,46,6.92,1497.5
422,46-0000000_6-9375000p,46,6.94,1860.5
423,46-0000000_6-9583333p,46,6.96,2529.8
424,46-0000000_6-9791667p,46,6.98,2756
425,46-0000000_7-0000000p,46,7,3255.2
426,46-0000000_7-0208333p,46,7.02,3145.2
427,46-0000000_7-0416667p,46,7.04,2996.2
428,46-0000000_7-0625000p,46,7.06,2412.8
429,46-0000000_7-0833333p,46,7.08,1856.2
430,46-0000000_7-1041667p,46,7.1,1647
431,46-0000000_7-1250000p,46,7.13,1600.5
432,46-0000000_7-1458333p,46,7.15,1827.8
433,46-0000000_7-1666667p,46,7.17,1375.5
434,46-0000000_7-1875000p,46,7.19,1709.8
435,46-0000000_7-2083333p,46,7.21,2443.8
436,46-0000000_7-2291667p,46,7.23,2760
437,46-0000000_7-2500000p,46,7.25,3104.2
438,46-0000000_7-2708333p,46,7.27,3001.8
439,46-0000000_7-2916667p,46,7.29,2725.5
440,46-0000000_7-3125000p,46,7.31,2845.5
441,46-0000000_7-3333333p,46,7.33,2037.2
442,46-0000000_7-3541667p,46,7.35,2262.5
443,46-0000000_7-3750000p,46,7.38,3234
444,46-0000000_7-3958333p,46,7.4,3405.8
445,46-0000000_7-4166667p,46,7.42,3490
446,46-0000000_7-4375000p,46,7.44,3445.8
447,46-0000000_7-4583333p,46,7.46,3022.2
448,46-0000000_7-4791667p,46,7.48,2641.5
449,46-0000000_7-5000000p,46,7.5,2714
450,46-0000000_7-5208333p,46,7.52,3033.2
451,46-0000000_7-5416667p,46,7.54,3351.8
452,46-0000000_7-5625000p,46,7.56,3530
453,46-0000000_7-5833333p,46,7.58,3163.2
454,46-0000000_7-6041667p,46,7.6,2849
455,46-0000000_7-6250000p,46,7.63,2751.5
456,46-0000000_7-6458333p,46,7.65,2889.5
457,46-0000000_7-6666667p,46,7.67,2752.2
458,46-0000000_7-6875000p,46,7.69,2614
459,46-0000000_7-7083333p,46,7.71,2281
460,46-0000000_7-7291667p,46,7.73,2164.5
461,46-0000000_7-7500000p,46,7.75,2695.5
462,46-0000000_7-7708333p,46,7.77,2818.8
463,46-0000000_7-7916667p,46,7.79,2975.2
464,46-0000000_7-8125000p,46,7.81,3107.5
465,46-0000000_7-8333333p,46,7.83,3232.5
466,46-0000000_7-8541667p,46,7.85,3210.5
